         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      454    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 font_manager.py:1403(_get_font)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
      769    0.000    0.000    0.000    0.000 __init__.py:1799(_str_equal)
      105    0.000    0.000    0.001    0.000 transforms.py:2351(__init__)
     1563    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 GLib.py:602(idle_add)
       73    0.000    0.000    0.004    0.000 module.py:95(get_interfaces_for_object)
       42    0.000    0.000    0.000    0.000 stride_tricks.py:183(_broadcast_shape)
        1    0.000    0.000    0.026    0.026 _axes.py:46(Axes)
